STATION_COMPLEX_ID,STATION_COMPLEX,BOROUGH,LATITUDE,LONGITUDE,TOTAL_RIDERSHIP,TOTAL_TRANSFERS,DAYS_ACTIVE,AVG_DAILY_RIDERSHIP
187,Shepherd Av (C),Brooklyn,40.67413,-73.88075,8878.0,28.0,11,807.09
134,Sutter Av (L),Brooklyn,40.66937,-73.90198,8734.0,176.0,11,794.0
220,"155 St (B,D)",Manhattan,40.830135,-73.93821,8717.0,38.0,11,792.45
445,Pelham Pkwy (5),Bronx,40.858986,-73.85536,8711.0,369.0,11,791.91
150,155 St (C),Manhattan,40.830517,-73.94151,8660.0,112.0,11,787.27
70,Bay 50 St (D),Brooklyn,40.58884,-73.983765,8642.0,36.0,11,785.64
248,Avenue N (F),Brooklyn,40.61514,-73.9742,8563.0,383.0,11,778.45
437,145 St (3),Manhattan,40.82042,-73.93625,8497.0,134.0,11,772.45
90,"Van Siclen Av (J,Z)",Brooklyn,40.678024,-73.891685,8399.0,13.0,11,763.55
417,"Nereid Av (2,5)",Bronx,40.89838,-73.85438,8289.0,828.0,11,753.55
431,"Intervale Av (2,5)",Bronx,40.82218,-73.896736,8258.0,143.0,11,750.73
443,Baychester Av (5),Bronx,40.878662,-73.83859,8152.0,167.0,10,815.2
80,"121 St (J,Z)",Queens,40.700493,-73.82829,8080.0,710.0,11,734.55
81,111 St (J),Queens,40.69742,-73.83634,8049.0,412.0,11,731.73
349,Junius St (3),Brooklyn,40.663513,-73.90245,8029.0,1964.0,11,729.91
446,Morris Park (5),Bronx,40.854362,-73.8605,8026.0,16.0,11,729.64
351,Van Siclen Av (3),Brooklyn,40.665447,-73.8894,7950.0,352.0,11,722.73
297,215 St (1),Manhattan,40.869446,-73.915276,7908.0,66.0,11,718.91
422,"Burke Av (2,5)",Bronx,40.871357,-73.867165,7889.0,28.0,11,717.18
249,Avenue P (F),Brooklyn,40.608944,-73.97302,7862.0,29.0,10,786.2
204,Beach 67 St (A),Queens,40.590927,-73.79692,7812.0,75.0,11,710.18
252,Avenue X (F),Brooklyn,40.58962,-73.97425,7765.0,440.0,10,776.5
